Epoch: [4][10/97], lr: 0.01000	Time 0.350 (0.451)	Data 0.000 (0.064)	Loss 4.5127 (4.9022)	Prec@1 67.969 (64.986)	Prec@5 94.531 (94.034)
Epoch: [4][20/97], lr: 0.01000	Time 0.355 (0.409)	Data 0.000 (0.041)	Loss 5.1718 (4.7642)	Prec@1 62.500 (66.257)	Prec@5 91.406 (94.606)
Epoch: [4][30/97], lr: 0.01000	Time 0.347 (0.390)	Data 0.000 (0.033)	Loss 4.7761 (4.7579)	Prec@1 67.188 (66.356)	Prec@5 95.312 (94.708)
Epoch: [4][40/97], lr: 0.01000	Time 0.346 (0.384)	Data 0.000 (0.029)	Loss 5.4671 (4.8130)	Prec@1 58.594 (65.949)	Prec@5 94.531 (94.646)
Epoch: [4][50/97], lr: 0.01000	Time 0.361 (0.380)	Data 0.000 (0.026)	Loss 4.2270 (4.7452)	Prec@1 70.312 (66.345)	Prec@5 94.531 (94.746)
Epoch: [4][60/97], lr: 0.01000	Time 0.340 (0.376)	Data 0.000 (0.025)	Loss 4.3567 (4.7294)	Prec@1 67.188 (66.457)	Prec@5 98.438 (94.711)
Epoch: [4][70/97], lr: 0.01000	Time 0.346 (0.374)	Data 0.000 (0.023)	Loss 5.5270 (4.7006)	Prec@1 62.500 (66.450)	Prec@5 92.969 (94.894)
Epoch: [4][80/97], lr: 0.01000	Time 0.377 (0.374)	Data 0.000 (0.022)	Loss 5.4822 (4.6993)	Prec@1 60.938 (66.426)	Prec@5 96.094 (94.859)
Epoch: [4][90/97], lr: 0.01000	Time 0.343 (0.372)	Data 0.000 (0.022)	Loss 4.4585 (4.6803)	Prec@1 67.188 (66.664)	Prec@5 96.094 (94.918)
Epoch: [4][96/97], lr: 0.01000	Time 0.354 (0.371)	Data 0.000 (0.022)	Loss 4.6382 (4.6779)	Prec@1 61.864 (66.573)	Prec@5 96.610 (94.857)
Epoch: [5][0/97], lr: 0.01000	Time 0.444 (0.444)	Data 0.230 (0.230)	Loss 4.1889 (4.1889)	Prec@1 66.406 (66.406)	Prec@5 96.094 (96.094)
Epoch: [5][10/97], lr: 0.01000	Time 0.312 (0.329)	Data 0.000 (0.035)	Loss 5.0699 (4.5390)	Prec@1 57.812 (66.974)	Prec@5 93.750 (95.455)
Epoch: [5][20/97], lr: 0.01000	Time 0.319 (0.329)	Data 0.000 (0.027)	Loss 4.0073 (4.5129)	Prec@1 68.750 (67.597)	Prec@5 97.656 (95.536)
Epoch: [5][30/97], lr: 0.01000	Time 0.312 (0.325)	Data 0.000 (0.024)	Loss 4.4125 (4.5112)	Prec@1 67.969 (67.692)	Prec@5 92.969 (95.489)
Epoch: [5][40/97], lr: 0.01000	Time 0.315 (0.323)	Data 0.000 (0.022)	Loss 3.6969 (4.4683)	Prec@1 70.312 (67.740)	Prec@5 98.438 (95.675)
Epoch: [5][50/97], lr: 0.01000	Time 0.324 (0.322)	Data 0.000 (0.021)	Loss 4.1197 (4.4456)	Prec@1 71.875 (67.907)	Prec@5 94.531 (95.757)
Epoch: [5][60/97], lr: 0.01000	Time 0.316 (0.324)	Data 0.000 (0.020)	Loss 4.4987 (4.5017)	Prec@1 65.625 (67.456)	Prec@5 97.656 (95.300)
Epoch: [5][70/97], lr: 0.01000	Time 0.315 (0.323)	Data 0.000 (0.020)	Loss 4.9490 (4.5103)	Prec@1 65.625 (67.584)	Prec@5 92.188 (95.224)
Epoch: [5][80/97], lr: 0.01000	Time 0.313 (0.322)	Data 0.000 (0.020)	Loss 3.9113 (4.4905)	Prec@1 75.000 (67.708)	Prec@5 96.094 (95.081)
Epoch: [5][90/97], lr: 0.01000	Time 0.311 (0.321)	Data 0.000 (0.019)	Loss 4.6388 (4.4660)	Prec@1 65.625 (67.986)	Prec@5 95.312 (95.141)
Epoch: [5][96/97], lr: 0.01000	Time 0.305 (0.321)	Data 0.000 (0.020)	Loss 4.0153 (4.4587)	Prec@1 75.424 (68.161)	Prec@5 94.915 (95.172)
Epoch: [6][0/97], lr: 0.01000	Time 0.521 (0.521)	Data 0.304 (0.304)	Loss 4.6678 (4.6678)	Prec@1 63.281 (63.281)	Prec@5 96.094 (96.094)
Epoch: [6][10/97], lr: 0.01000	Time 0.315 (0.356)	Data 0.000 (0.042)	Loss 4.9252 (4.6756)	Prec@1 63.281 (66.051)	Prec@5 92.969 (94.531)
Epoch: [6][20/97], lr: 0.01000	Time 0.319 (0.337)	Data 0.000 (0.030)	Loss 4.3984 (4.4394)	Prec@1 68.750 (67.857)	Prec@5 96.875 (95.238)
Epoch: [6][30/97], lr: 0.01000	Time 0.314 (0.331)	Data 0.000 (0.026)	Loss 4.0047 (4.4311)	Prec@1 68.750 (67.692)	Prec@5 94.531 (95.035)
Epoch: [6][40/97], lr: 0.01000	Time 0.312 (0.327)	Data 0.000 (0.024)	Loss 4.4494 (4.4217)	Prec@1 68.750 (68.140)	Prec@5 92.969 (94.970)
Epoch: [6][50/97], lr: 0.01000	Time 0.312 (0.325)	Data 0.000 (0.023)	Loss 4.1650 (4.4231)	Prec@1 71.094 (67.892)	Prec@5 96.875 (95.236)
Epoch: [6][60/97], lr: 0.01000	Time 0.315 (0.324)	Data 0.000 (0.022)	Loss 4.3847 (4.4043)	Prec@1 69.531 (68.276)	Prec@5 97.656 (95.312)
Epoch: [6][70/97], lr: 0.01000	Time 0.317 (0.323)	Data 0.000 (0.021)	Loss 3.9663 (4.3679)	Prec@1 67.969 (68.640)	Prec@5 94.531 (95.390)
Epoch: [6][80/97], lr: 0.01000	Time 0.316 (0.324)	Data 0.000 (0.021)	Loss 4.7835 (4.3369)	Prec@1 68.750 (68.856)	Prec@5 94.531 (95.592)
Epoch: [6][90/97], lr: 0.01000	Time 0.317 (0.323)	Data 0.000 (0.020)	Loss 4.5342 (4.3460)	Prec@1 69.531 (68.896)	Prec@5 95.312 (95.587)
Epoch: [6][96/97], lr: 0.01000	Time 0.305 (0.323)	Data 0.000 (0.021)	Loss 3.7886 (4.3258)	Prec@1 75.424 (69.071)	Prec@5 97.458 (95.655)
Epoch: [7][0/97], lr: 0.01000	Time 0.434 (0.434)	Data 0.234 (0.234)	Loss 3.9949 (3.9949)	Prec@1 76.562 (76.562)	Prec@5 95.312 (95.312)
Epoch: [7][10/97], lr: 0.01000	Time 0.314 (0.332)	Data 0.000 (0.036)	Loss 4.1289 (4.2115)	Prec@1 69.531 (70.810)	Prec@5 94.531 (95.739)
Epoch: [7][20/97], lr: 0.01000	Time 0.312 (0.324)	Data 0.000 (0.027)	Loss 4.8952 (4.2548)	Prec@1 61.719 (70.015)	Prec@5 92.969 (95.871)
Epoch: [7][30/97], lr: 0.01000	Time 0.311 (0.322)	Data 0.000 (0.024)	Loss 4.1364 (4.2296)	Prec@1 69.531 (70.363)	Prec@5 99.219 (96.043)
Epoch: [7][40/97], lr: 0.01000	Time 0.316 (0.320)	Data 0.000 (0.022)	Loss 4.7746 (4.2229)	Prec@1 63.281 (70.160)	Prec@5 97.656 (95.865)
Epoch: [7][50/97], lr: 0.01000	Time 0.311 (0.319)	Data 0.000 (0.021)	Loss 3.3305 (4.2061)	Prec@1 80.469 (70.481)	Prec@5 98.438 (96.048)
Epoch: [7][60/97], lr: 0.01000	Time 0.319 (0.319)	Data 0.000 (0.021)	Loss 4.6887 (4.2114)	Prec@1 66.406 (70.389)	Prec@5 97.656 (96.183)
Epoch: [7][70/97], lr: 0.01000	Time 0.319 (0.318)	Data 0.000 (0.020)	Loss 3.8781 (4.1911)	Prec@1 72.656 (70.544)	Prec@5 97.656 (96.182)
Epoch: [7][80/97], lr: 0.01000	Time 0.313 (0.318)	Data 0.000 (0.020)	Loss 4.0166 (4.1855)	Prec@1 70.312 (70.583)	Prec@5 95.312 (96.287)
Epoch: [7][90/97], lr: 0.01000	Time 0.312 (0.318)	Data 0.000 (0.020)	Loss 3.9518 (4.1902)	Prec@1 71.094 (70.673)	Prec@5 95.312 (96.274)
Epoch: [7][96/97], lr: 0.01000	Time 0.304 (0.317)	Data 0.000 (0.020)	Loss 4.0956 (4.1953)	Prec@1 69.492 (70.667)	Prec@5 97.458 (96.349)
Epoch: [8][0/97], lr: 0.01000	Time 0.414 (0.414)	Data 0.243 (0.243)	Loss 4.7980 (4.7980)	Prec@1 66.406 (66.406)	Prec@5 96.875 (96.875)
Epoch: [8][10/97], lr: 0.01000	Time 0.315 (0.330)	Data 0.000 (0.037)	Loss 3.6273 (4.1163)	Prec@1 75.781 (70.739)	Prec@5 97.656 (96.236)
Epoch: [8][20/97], lr: 0.01000	Time 0.312 (0.323)	Data 0.000 (0.028)	Loss 3.6462 (4.0118)	Prec@1 74.219 (71.875)	Prec@5 97.656 (96.354)
Epoch: [8][30/97], lr: 0.01000	Time 0.323 (0.326)	Data 0.000 (0.024)	Loss 4.3077 (4.0135)	Prec@1 69.531 (71.749)	Prec@5 98.438 (96.472)
Epoch: [8][40/97], lr: 0.01000	Time 0.315 (0.324)	Data 0.000 (0.023)	Loss 4.3138 (4.0163)	Prec@1 68.750 (71.932)	Prec@5 95.312 (96.532)
Epoch: [8][50/97], lr: 0.01000	Time 0.314 (0.322)	Data 0.000 (0.021)	Loss 4.7651 (4.1069)	Prec@1 65.625 (71.002)	Prec@5 96.094 (96.400)
Epoch: [8][60/97], lr: 0.01000	Time 0.314 (0.322)	Data 0.000 (0.021)	Loss 3.9760 (4.1288)	Prec@1 75.000 (70.825)	Prec@5 96.094 (96.414)
Epoch: [8][70/97], lr: 0.01000	Time 0.323 (0.321)	Data 0.000 (0.020)	Loss 4.0948 (4.1252)	Prec@1 72.656 (70.973)	Prec@5 92.969 (96.380)
Epoch: [8][80/97], lr: 0.01000	Time 0.313 (0.321)	Data 0.000 (0.020)	Loss 3.5793 (4.1034)	Prec@1 75.000 (71.142)	Prec@5 99.219 (96.190)
Epoch: [8][90/97], lr: 0.01000	Time 0.316 (0.320)	Data 0.000 (0.020)	Loss 4.5962 (4.1290)	Prec@1 64.844 (71.042)	Prec@5 95.312 (96.085)
