Epoch: [1][30/391], lr: 0.00400	Time 0.031 (0.050)	Data 0.000 (0.018)	Loss 4.0161 (4.1451)	Prec@1 14.453 (12.198)	Prec@5 37.891 (31.641)
Epoch: [1][40/391], lr: 0.00400	Time 0.031 (0.045)	Data 0.000 (0.013)	Loss 4.0071 (4.1522)	Prec@1 15.234 (12.186)	Prec@5 32.422 (31.345)
Epoch: [1][50/391], lr: 0.00400	Time 0.032 (0.043)	Data 0.000 (0.011)	Loss 4.0294 (4.1307)	Prec@1 10.938 (12.431)	Prec@5 32.812 (31.840)
Epoch: [1][60/391], lr: 0.00400	Time 0.032 (0.041)	Data 0.000 (0.009)	Loss 4.1366 (4.1199)	Prec@1 11.719 (12.590)	Prec@5 32.422 (32.076)
Epoch: [1][70/391], lr: 0.00400	Time 0.034 (0.040)	Data 0.000 (0.008)	Loss 4.2761 (4.1220)	Prec@1 9.766 (12.572)	Prec@5 28.516 (32.009)
Epoch: [1][80/391], lr: 0.00400	Time 0.037 (0.039)	Data 0.000 (0.007)	Loss 3.8903 (4.1078)	Prec@1 13.672 (12.698)	Prec@5 36.328 (32.345)
Epoch: [1][90/391], lr: 0.00400	Time 0.032 (0.038)	Data 0.000 (0.007)	Loss 4.0306 (4.0968)	Prec@1 15.234 (12.835)	Prec@5 33.203 (32.465)
Epoch: [1][100/391], lr: 0.00400	Time 0.033 (0.038)	Data 0.000 (0.006)	Loss 3.9624 (4.0873)	Prec@1 12.109 (12.933)	Prec@5 35.156 (32.770)
Epoch: [1][110/391], lr: 0.00400	Time 0.029 (0.037)	Data 0.001 (0.005)	Loss 4.2309 (4.0865)	Prec@1 11.328 (12.820)	Prec@5 26.172 (32.672)
Epoch: [1][120/391], lr: 0.00400	Time 0.038 (0.037)	Data 0.001 (0.005)	Loss 3.8679 (4.0754)	Prec@1 15.625 (12.916)	Prec@5 44.922 (33.016)
Epoch: [1][130/391], lr: 0.00400	Time 0.030 (0.036)	Data 0.000 (0.005)	Loss 4.0078 (4.0627)	Prec@1 11.328 (13.037)	Prec@5 31.641 (33.266)
Epoch: [1][140/391], lr: 0.00400	Time 0.031 (0.036)	Data 0.000 (0.005)	Loss 4.0069 (4.0510)	Prec@1 12.500 (13.184)	Prec@5 35.938 (33.574)
Epoch: [1][150/391], lr: 0.00400	Time 0.032 (0.036)	Data 0.000 (0.004)	Loss 3.7096 (4.0412)	Prec@1 16.406 (13.356)	Prec@5 39.062 (33.801)
Epoch: [1][160/391], lr: 0.00400	Time 0.032 (0.036)	Data 0.000 (0.004)	Loss 3.7866 (4.0310)	Prec@1 17.578 (13.543)	Prec@5 40.234 (34.069)
Epoch: [1][170/391], lr: 0.00400	Time 0.032 (0.036)	Data 0.000 (0.004)	Loss 3.9388 (4.0204)	Prec@1 14.453 (13.679)	Prec@5 38.281 (34.348)
Epoch: [1][180/391], lr: 0.00400	Time 0.031 (0.035)	Data 0.001 (0.004)	Loss 3.6713 (4.0094)	Prec@1 18.750 (13.804)	Prec@5 43.750 (34.645)
Epoch: [1][190/391], lr: 0.00400	Time 0.034 (0.035)	Data 0.000 (0.004)	Loss 3.9567 (4.0012)	Prec@1 14.062 (13.925)	Prec@5 37.109 (34.878)
Epoch: [1][200/391], lr: 0.00400	Time 0.031 (0.035)	Data 0.000 (0.003)	Loss 3.7767 (3.9923)	Prec@1 15.625 (14.061)	Prec@5 38.281 (35.125)
Epoch: [1][210/391], lr: 0.00400	Time 0.031 (0.035)	Data 0.000 (0.003)	Loss 3.9178 (3.9840)	Prec@1 14.844 (14.207)	Prec@5 34.375 (35.304)
