Epoch: [3][70/97], lr: 0.00800	Time 0.341 (0.343)	Data 0.000 (0.023)	Loss 5.4361 (4.9019)	Prec@1 62.500 (64.745)	Prec@5 92.969 (94.014)
Epoch: [3][80/97], lr: 0.00800	Time 0.330 (0.343)	Data 0.000 (0.023)	Loss 5.0519 (4.8809)	Prec@1 63.281 (64.660)	Prec@5 96.094 (94.078)
Epoch: [3][90/97], lr: 0.00800	Time 0.357 (0.343)	Data 0.000 (0.022)	Loss 4.4670 (4.8578)	Prec@1 71.875 (64.878)	Prec@5 93.750 (94.119)
Epoch: [3][96/97], lr: 0.00800	Time 0.357 (0.345)	Data 0.000 (0.022)	Loss 4.4596 (4.8328)	Prec@1 66.102 (65.049)	Prec@5 94.068 (94.100)
Epoch: [4][0/97], lr: 0.01000	Time 0.548 (0.548)	Data 0.284 (0.284)	Loss 4.5737 (4.5737)	Prec@1 66.406 (66.406)	Prec@5 97.656 (97.656)
Epoch: [4][10/97], lr: 0.01000	Time 0.328 (0.361)	Data 0.000 (0.039)	Loss 4.8001 (4.5088)	Prec@1 62.500 (66.477)	Prec@5 94.531 (95.312)
Epoch: [4][20/97], lr: 0.01000	Time 0.327 (0.345)	Data 0.000 (0.029)	Loss 4.4725 (4.6769)	Prec@1 65.625 (65.737)	Prec@5 92.188 (94.680)
Epoch: [4][30/97], lr: 0.01000	Time 0.325 (0.341)	Data 0.000 (0.025)	Loss 5.2801 (4.6965)	Prec@1 63.281 (66.003)	Prec@5 86.719 (94.355)
Epoch: [4][40/97], lr: 0.01000	Time 0.325 (0.338)	Data 0.000 (0.023)	Loss 4.1449 (4.6978)	Prec@1 70.312 (66.139)	Prec@5 92.969 (94.455)
Epoch: [4][50/97], lr: 0.01000	Time 0.324 (0.337)	Data 0.000 (0.022)	Loss 5.1324 (4.7263)	Prec@1 60.938 (66.054)	Prec@5 94.531 (94.347)
Epoch: [4][60/97], lr: 0.01000	Time 0.325 (0.336)	Data 0.000 (0.021)	Loss 4.5223 (4.6674)	Prec@1 65.625 (66.342)	Prec@5 96.094 (94.544)
Epoch: [4][70/97], lr: 0.01000	Time 0.327 (0.335)	Data 0.000 (0.021)	Loss 5.5125 (4.6985)	Prec@1 58.594 (66.142)	Prec@5 94.531 (94.388)
Epoch: [4][80/97], lr: 0.01000	Time 0.325 (0.334)	Data 0.000 (0.020)	Loss 4.5832 (4.6765)	Prec@1 66.406 (66.319)	Prec@5 94.531 (94.502)
Epoch: [4][90/97], lr: 0.01000	Time 0.325 (0.334)	Data 0.000 (0.020)	Loss 3.9923 (4.6442)	Prec@1 71.094 (66.621)	Prec@5 96.094 (94.574)
Epoch: [4][96/97], lr: 0.01000	Time 0.316 (0.333)	Data 0.000 (0.020)	Loss 4.6687 (4.6413)	Prec@1 61.864 (66.605)	Prec@5 94.915 (94.632)
Epoch: [5][0/97], lr: 0.01000	Time 0.421 (0.421)	Data 0.221 (0.221)	Loss 4.0603 (4.0603)	Prec@1 72.656 (72.656)	Prec@5 93.750 (93.750)
Epoch: [5][10/97], lr: 0.01000	Time 0.333 (0.342)	Data 0.000 (0.035)	Loss 4.7850 (4.4683)	Prec@1 67.969 (67.898)	Prec@5 96.875 (95.099)
Epoch: [5][20/97], lr: 0.01000	Time 0.328 (0.336)	Data 0.000 (0.026)	Loss 4.3263 (4.5035)	Prec@1 67.969 (67.262)	Prec@5 94.531 (94.978)
Epoch: [5][30/97], lr: 0.01000	Time 0.326 (0.334)	Data 0.000 (0.023)	Loss 4.2961 (4.5012)	Prec@1 70.312 (67.364)	Prec@5 96.094 (94.834)
Epoch: [5][40/97], lr: 0.01000	Time 0.332 (0.333)	Data 0.000 (0.022)	Loss 4.7485 (4.5401)	Prec@1 65.625 (66.959)	Prec@5 97.656 (94.836)
Epoch: [5][50/97], lr: 0.01000	Time 0.338 (0.332)	Data 0.000 (0.021)	Loss 4.2795 (4.5121)	Prec@1 67.969 (67.065)	Prec@5 93.750 (95.098)
Epoch: [5][60/97], lr: 0.01000	Time 0.326 (0.332)	Data 0.000 (0.020)	Loss 3.6376 (4.4403)	Prec@1 75.000 (67.623)	Prec@5 99.219 (95.389)
Epoch: [5][70/97], lr: 0.01000	Time 0.329 (0.332)	Data 0.000 (0.020)	Loss 3.9702 (4.4489)	Prec@1 70.312 (67.694)	Prec@5 98.438 (95.312)
Epoch: [5][80/97], lr: 0.01000	Time 0.325 (0.332)	Data 0.000 (0.020)	Loss 4.1466 (4.4332)	Prec@1 73.438 (67.901)	Prec@5 96.094 (95.390)
Epoch: [5][90/97], lr: 0.01000	Time 0.330 (0.332)	Data 0.000 (0.019)	Loss 4.3004 (4.4030)	Prec@1 65.625 (68.278)	Prec@5 97.656 (95.441)
Epoch: [5][96/97], lr: 0.01000	Time 0.317 (0.331)	Data 0.000 (0.020)	Loss 3.9808 (4.3996)	Prec@1 71.186 (68.322)	Prec@5 98.305 (95.478)
Epoch: [6][0/97], lr: 0.01000	Time 0.444 (0.444)	Data 0.222 (0.222)	Loss 4.4196 (4.4196)	Prec@1 64.844 (64.844)	Prec@5 93.750 (93.750)
Epoch: [6][10/97], lr: 0.01000	Time 0.327 (0.345)	Data 0.000 (0.035)	Loss 3.8312 (4.2785)	Prec@1 71.094 (69.034)	Prec@5 98.438 (95.739)
Epoch: [6][20/97], lr: 0.01000	Time 0.330 (0.337)	Data 0.000 (0.027)	Loss 4.1566 (4.3003)	Prec@1 75.000 (69.978)	Prec@5 96.094 (95.982)
Epoch: [6][30/97], lr: 0.01000	Time 0.331 (0.336)	Data 0.000 (0.024)	Loss 4.8619 (4.3576)	Prec@1 60.938 (69.380)	Prec@5 94.531 (95.968)
Epoch: [6][40/97], lr: 0.01000	Time 0.327 (0.335)	Data 0.000 (0.022)	Loss 4.7639 (4.3054)	Prec@1 63.281 (69.627)	Prec@5 97.656 (95.884)
Epoch: [6][50/97], lr: 0.01000	Time 0.324 (0.334)	Data 0.000 (0.021)	Loss 3.8676 (4.2998)	Prec@1 71.094 (69.409)	Prec@5 94.531 (95.772)
Epoch: [6][60/97], lr: 0.01000	Time 0.324 (0.333)	Data 0.000 (0.020)	Loss 5.0996 (4.3337)	Prec@1 64.062 (69.019)	Prec@5 95.312 (95.799)
Epoch: [6][70/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 3.7860 (4.3455)	Prec@1 73.438 (68.937)	Prec@5 97.656 (95.742)
Epoch: [6][80/97], lr: 0.01000	Time 0.325 (0.332)	Data 0.000 (0.020)	Loss 4.3141 (4.3182)	Prec@1 66.406 (68.962)	Prec@5 96.094 (95.853)
Epoch: [6][90/97], lr: 0.01000	Time 0.324 (0.332)	Data 0.000 (0.019)	Loss 4.5649 (4.3162)	Prec@1 66.406 (69.042)	Prec@5 93.750 (95.673)
Epoch: [6][96/97], lr: 0.01000	Time 0.318 (0.331)	Data 0.000 (0.020)	Loss 5.1470 (4.3280)	Prec@1 64.407 (69.039)	Prec@5 90.678 (95.615)
Epoch: [7][0/97], lr: 0.01000	Time 0.406 (0.406)	Data 0.210 (0.210)	Loss 3.1063 (3.1063)	Prec@1 76.562 (76.562)	Prec@5 98.438 (98.438)
Epoch: [7][10/97], lr: 0.01000	Time 0.326 (0.340)	Data 0.000 (0.034)	Loss 3.6303 (4.0364)	Prec@1 75.781 (70.881)	Prec@5 93.750 (96.236)
Epoch: [7][20/97], lr: 0.01000	Time 0.325 (0.334)	Data 0.000 (0.026)	Loss 4.1814 (4.1677)	Prec@1 71.094 (70.164)	Prec@5 97.656 (96.243)
Epoch: [7][30/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.023)	Loss 3.5193 (4.1565)	Prec@1 72.656 (70.010)	Prec@5 96.094 (95.968)
Epoch: [7][40/97], lr: 0.01000	Time 0.331 (0.332)	Data 0.000 (0.022)	Loss 3.9160 (4.1178)	Prec@1 75.781 (70.598)	Prec@5 98.438 (95.979)
Epoch: [7][50/97], lr: 0.01000	Time 0.327 (0.332)	Data 0.000 (0.021)	Loss 4.2303 (4.1335)	Prec@1 69.531 (70.588)	Prec@5 96.875 (95.864)
Epoch: [7][60/97], lr: 0.01000	Time 0.328 (0.332)	Data 0.000 (0.020)	Loss 4.9287 (4.1138)	Prec@1 62.500 (70.761)	Prec@5 95.312 (96.055)
Epoch: [7][70/97], lr: 0.01000	Time 0.336 (0.331)	Data 0.000 (0.020)	Loss 3.7756 (4.1306)	Prec@1 75.781 (70.709)	Prec@5 96.875 (96.061)
Epoch: [7][80/97], lr: 0.01000	Time 0.324 (0.332)	Data 0.000 (0.019)	Loss 5.0021 (4.1469)	Prec@1 67.188 (70.660)	Prec@5 95.312 (96.132)
Epoch: [7][90/97], lr: 0.01000	Time 0.324 (0.331)	Data 0.000 (0.019)	Loss 4.1817 (4.1712)	Prec@1 66.406 (70.433)	Prec@5 97.656 (96.162)
Epoch: [7][96/97], lr: 0.01000	Time 0.316 (0.331)	Data 0.000 (0.020)	Loss 3.6323 (4.1584)	Prec@1 73.729 (70.530)	Prec@5 96.610 (96.236)
Epoch: [8][0/97], lr: 0.01000	Time 0.428 (0.428)	Data 0.218 (0.218)	Loss 4.3546 (4.3546)	Prec@1 69.531 (69.531)	Prec@5 95.312 (95.312)
Epoch: [8][10/97], lr: 0.01000	Time 0.327 (0.343)	Data 0.000 (0.035)	Loss 4.7759 (4.1451)	Prec@1 63.281 (70.170)	Prec@5 94.531 (95.739)
Epoch: [8][20/97], lr: 0.01000	Time 0.329 (0.336)	Data 0.000 (0.027)	Loss 3.7396 (4.0629)	Prec@1 77.344 (70.871)	Prec@5 97.656 (96.243)
Epoch: [8][30/97], lr: 0.01000	Time 0.325 (0.334)	Data 0.000 (0.024)	Loss 3.8967 (4.0622)	Prec@1 73.438 (71.043)	Prec@5 96.094 (96.371)
Epoch: [8][40/97], lr: 0.01000	Time 0.326 (0.333)	Data 0.000 (0.022)	Loss 3.8887 (4.0006)	Prec@1 71.875 (71.818)	Prec@5 95.312 (96.399)
Epoch: [8][50/97], lr: 0.01000	Time 0.329 (0.332)	Data 0.000 (0.021)	Loss 4.7673 (4.0396)	Prec@1 67.188 (71.523)	Prec@5 97.656 (96.492)
Epoch: [8][60/97], lr: 0.01000	Time 0.329 (0.333)	Data 0.000 (0.020)	Loss 4.5082 (4.0505)	Prec@1 70.312 (71.606)	Prec@5 96.875 (96.376)
Epoch: [8][70/97], lr: 0.01000	Time 0.327 (0.333)	Data 0.000 (0.020)	Loss 4.0160 (4.1030)	Prec@1 68.750 (71.072)	Prec@5 94.531 (96.050)
Epoch: [8][80/97], lr: 0.01000	Time 0.326 (0.332)	Data 0.000 (0.020)	Loss 4.8760 (4.1060)	Prec@1 67.969 (71.113)	Prec@5 93.750 (96.026)
Epoch: [8][90/97], lr: 0.01000	Time 0.324 (0.332)	Data 0.000 (0.019)	Loss 4.7237 (4.1108)	Prec@1 62.500 (70.939)	Prec@5 96.875 (96.094)
Epoch: [8][96/97], lr: 0.01000	Time 0.317 (0.332)	Data 0.000 (0.020)	Loss 3.1999 (4.0782)	Prec@1 83.051 (71.248)	Prec@5 95.763 (96.123)
Epoch: [9][0/97], lr: 0.01000	Time 0.447 (0.447)	Data 0.224 (0.224)	Loss 3.8222 (3.8222)	Prec@1 71.094 (71.094)	Prec@5 98.438 (98.438)
Epoch: [9][10/97], lr: 0.01000	Time 0.329 (0.345)	Data 0.000 (0.035)	Loss 4.5513 (3.7268)	Prec@1 64.844 (72.727)	Prec@5 98.438 (97.514)
Epoch: [9][20/97], lr: 0.01000	Time 0.326 (0.337)	Data 0.000 (0.027)	Loss 3.8151 (3.9398)	Prec@1 71.094 (72.061)	Prec@5 96.094 (96.987)
Epoch: [9][30/97], lr: 0.01000	Time 0.327 (0.336)	Data 0.000 (0.024)	Loss 3.7070 (3.9248)	Prec@1 76.562 (72.757)	Prec@5 96.094 (96.976)
Epoch: [9][40/97], lr: 0.01000	Time 0.331 (0.334)	Data 0.000 (0.022)	Loss 3.5535 (4.0359)	Prec@1 72.656 (71.818)	Prec@5 96.875 (96.684)
Epoch: [9][50/97], lr: 0.01000	Time 0.328 (0.334)	Data 0.000 (0.021)	Loss 3.5028 (4.0229)	Prec@1 75.000 (71.860)	Prec@5 97.656 (96.661)
Epoch: [9][60/97], lr: 0.01000	Time 0.326 (0.333)	Data 0.000 (0.021)	Loss 3.4922 (4.0034)	Prec@1 76.562 (71.913)	Prec@5 97.656 (96.606)
