Epoch: [1][140/391], lr: 0.00400	Time 0.061 (0.065)	Data 0.000 (0.004)	Loss 4.2290 (4.3285)	Prec@1 11.719 (9.405)	Prec@5 29.297 (26.729)
Epoch: [1][150/391], lr: 0.00400	Time 0.061 (0.065)	Data 0.000 (0.004)	Loss 4.1749 (4.3209)	Prec@1 12.500 (9.525)	Prec@5 28.906 (26.883)
Epoch: [1][160/391], lr: 0.00400	Time 0.064 (0.065)	Data 0.000 (0.003)	Loss 4.0882 (4.3124)	Prec@1 11.719 (9.639)	Prec@5 35.938 (27.091)
Epoch: [1][170/391], lr: 0.00400	Time 0.063 (0.065)	Data 0.000 (0.003)	Loss 4.2910 (4.3048)	Prec@1 12.109 (9.788)	Prec@5 30.469 (27.298)
Epoch: [1][180/391], lr: 0.00400	Time 0.062 (0.065)	Data 0.000 (0.003)	Loss 4.0216 (4.2933)	Prec@1 14.453 (9.921)	Prec@5 35.938 (27.611)
Epoch: [1][190/391], lr: 0.00400	Time 0.062 (0.065)	Data 0.000 (0.003)	Loss 4.0507 (4.2853)	Prec@1 13.672 (10.062)	Prec@5 32.812 (27.798)
Epoch: [1][200/391], lr: 0.00400	Time 0.061 (0.065)	Data 0.000 (0.003)	Loss 3.9808 (4.2751)	Prec@1 14.453 (10.113)	Prec@5 33.984 (28.003)
Epoch: [1][210/391], lr: 0.00400	Time 0.060 (0.065)	Data 0.000 (0.003)	Loss 4.1046 (4.2682)	Prec@1 11.328 (10.206)	Prec@5 32.031 (28.216)
Epoch: [1][220/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.003)	Loss 3.9279 (4.2588)	Prec@1 12.891 (10.322)	Prec@5 35.547 (28.418)
Epoch: [1][230/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.003)	Loss 4.0067 (4.2521)	Prec@1 11.328 (10.393)	Prec@5 33.594 (28.583)
Epoch: [1][240/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.003)	Loss 3.9951 (4.2437)	Prec@1 15.234 (10.498)	Prec@5 34.375 (28.785)
Epoch: [1][250/391], lr: 0.00400	Time 0.065 (0.064)	Data 0.000 (0.003)	Loss 3.8760 (4.2343)	Prec@1 14.062 (10.600)	Prec@5 36.328 (29.017)
Epoch: [1][260/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 4.0704 (4.2266)	Prec@1 13.672 (10.673)	Prec@5 33.203 (29.165)
Epoch: [1][270/391], lr: 0.00400	Time 0.062 (0.064)	Data 0.000 (0.002)	Loss 4.0219 (4.2178)	Prec@1 10.156 (10.767)	Prec@5 35.156 (29.391)
Epoch: [1][280/391], lr: 0.00400	Time 0.064 (0.064)	Data 0.000 (0.002)	Loss 3.9847 (4.2085)	Prec@1 16.016 (10.932)	Prec@5 33.984 (29.622)
Epoch: [1][290/391], lr: 0.00400	Time 0.061 (0.064)	Data 0.000 (0.002)	Loss 4.0249 (4.2005)	Prec@1 14.062 (11.018)	Prec@5 33.594 (29.791)
